loss,mae,val_loss,val_mae,learning_rate
0.04047450050711632,0.12506823241710663,0.033896006643772125,0.11302352696657181,0.0010000000474974513
0.03905240446329117,0.11885455250740051,0.033827364444732666,0.11094385385513306,0.0010000000474974513
0.03891878202557564,0.11792118847370148,0.03370126709342003,0.1102655678987503,0.0010000000474974513
0.0388508215546608,0.1173672080039978,0.03374844416975975,0.10848714411258698,0.0010000000474974513
0.038802266120910645,0.11708585172891617,0.033699411898851395,0.10998313128948212,0.0010000000474974513
0.03876810893416405,0.1168493777513504,0.03371371701359749,0.11127619445323944,0.0010000000474974513
0.038744643330574036,0.11664898693561554,0.033746570348739624,0.1098654568195343,0.0010000000474974513
0.03865432366728783,0.11569794267416,0.03368572145700455,0.10954668372869492,0.0005000000237487257
0.03864392638206482,0.11562252789735794,0.03367256373167038,0.10979261249303818,0.0005000000237487257
0.038637857884168625,0.11556302756071091,0.03366800397634506,0.10917612165212631,0.0005000000237487257
0.03863099217414856,0.1155085489153862,0.033710330724716187,0.11004626750946045,0.0005000000237487257
0.03858610615134239,0.11498576402664185,0.03364582732319832,0.10918627679347992,0.0002500000118743628
0.03858090192079544,0.11492925137281418,0.03372110798954964,0.11003540456295013,0.0002500000118743628
0.038576774299144745,0.11492301523685455,0.03371542692184448,0.10983148962259293,0.0002500000118743628
0.038574617356061935,0.11489751935005188,0.03370946645736694,0.10990933328866959,0.0002500000118743628
0.03854929655790329,0.11458342522382736,0.033707160502672195,0.10966233164072037,0.0001250000059371814
0.03854978829622269,0.11455468088388443,0.03374221920967102,0.11001693457365036,0.0001250000059371814
0.038547877222299576,0.11454480141401291,0.03375733271241188,0.11018700152635574,0.0001250000059371814
0.038544148206710815,0.11453166604042053,0.033759813755750656,0.11010977625846863,0.0001250000059371814
0.03853469714522362,0.1143474355340004,0.03373159468173981,0.10972901433706284,6.25000029685907e-05
