energy_mev,electronic_stopping,nuclear_stopping,total_stopping,csda_range,projected_range,detour_factor
90.0,6.133,0.002182,6.135,8.309,8.284,0.997
95.0,5.893,0.002074,5.895,9.141,9.114,0.997
100.0,5.676,0.001976,5.678,10.01,9.976,0.9971
125.0,4.835,0.0016,4.837,14.8,14.76,0.9972
150.0,4.261,0.001346,4.262,20.32,20.26,0.9973
175.0,3.843,0.001163,3.844,26.51,26.44,0.9973
200.0,3.525,0.001025,3.526,33.31,33.22,0.9974
225.0,3.276,0.0009164,3.277,40.67,40.57,0.9975
250.0,3.075,0.0008293,3.076,48.55,48.43,0.9975
275.0,2.91,0.0007576,2.911,56.91,56.78,0.9976
300.0,2.772,0.0006976,2.773,65.72,65.56,0.9976
350.0,2.555,0.0006027,2.555,84.54,84.34,0.9977
400.0,2.392,0.0005311,2.393,104.8,104.6,0.9978
450.0,2.266,0.000475,2.267,126.3,126.0,0.9979
500.0,2.166,0.0004299,2.167,148.9,148.5,0.9979
550.0,2.086,0.0003928,2.086,172.4,172.0,0.998
600.0,2.019,0.0003617,2.02,196.8,196.4,0.998
650.0,1.964,0.0003353,1.965,221.9,221.4,0.9981
700.0,1.918,0.0003126,1.918,247.6,247.2,0.9981
750.0,1.878,0.0002929,1.879,274.0,273.5,0.9982
800.0,1.845,0.0002755,1.845,300.8,300.3,0.9982
850.0,1.816,0.0002602,1.816,328.2,327.6,0.9982
900.0,1.79,0.0002465,1.791,355.9,355.3,0.9983
950.0,1.768,0.0002342,1.769,384.0,383.3,0.9983
1000.0,1.749,0.0002232,1.75,412.4,411.7,0.9983
1500.0,1.647,0.0001523,1.647,708.7,707.7,0.9986
2000.0,1.617,0.0001162,1.618,1016.0,1014.0,0.9987
2500.0,1.613,9.419e-05,1.613,1325.0,1324.0,0.9989
3000.0,1.619,7.938e-05,1.619,1635.0,1633.0,0.999
4000.0,1.642,6.062e-05,1.642,2248.0,2246.0,0.9991
5000.0,1.668,4.92e-05,1.668,2853.0,2850.0,0.9992
6000.0,1.692,4.148e-05,1.692,3448.0,3445.0,0.9993
7000.0,1.714,3.592e-05,1.714,4035.0,4032.0,0.9993
8000.0,1.734,3.17e-05,1.734,4615.0,4612.0,0.9994
9000.0,1.752,2.84e-05,1.752,5189.0,5186.0,0.9994
10000.0,1.768,2.574e-05,1.768,5757.0,5754.0,0.9995
