loss,mae,val_loss,val_mae,learning_rate
0.04056032747030258,0.1255810260772705,0.03368135169148445,0.10684098303318024,0.0010000000474974513
0.039156973361968994,0.11915852129459381,0.033479537814855576,0.10587991029024124,0.0010000000474974513
0.038987480103969574,0.11781582981348038,0.033551257103681564,0.1064494401216507,0.0010000000474974513
0.03890709951519966,0.11731347441673279,0.033572301268577576,0.1074538454413414,0.0010000000474974513
0.038860004395246506,0.11698111891746521,0.03350476548075676,0.10681112110614777,0.0010000000474974513
0.038823459297418594,0.11672305315732956,0.033566150814294815,0.10771390050649643,0.0010000000474974513
0.03873217850923538,0.11585226655006409,0.03347728028893471,0.10607553273439407,0.0005000000237487257
0.03872009739279747,0.11575581133365631,0.033435411751270294,0.10599464178085327,0.0005000000237487257
0.0387067012488842,0.1156720221042633,0.03347063437104225,0.10617120563983917,0.0005000000237487257
0.038702111691236496,0.11563493311405182,0.033434584736824036,0.1057928055524826,0.0005000000237487257
0.03865918889641762,0.115179643034935,0.033455055207014084,0.1056569442152977,0.0002500000118743628
0.038653310388326645,0.11513053625822067,0.0334317721426487,0.10545583814382553,0.0002500000118743628
0.03864987567067146,0.11509868502616882,0.033419352024793625,0.10552667081356049,0.0002500000118743628
0.0386446975171566,0.11506260931491852,0.03341495245695114,0.10497528314590454,0.0002500000118743628
0.03862398862838745,0.1148144006729126,0.0334247350692749,0.10532591491937637,0.0001250000059371814
0.038619235157966614,0.11479268223047256,0.0334196463227272,0.1051521822810173,0.0001250000059371814
0.038619354367256165,0.11478878557682037,0.03342144563794136,0.10525290668010712,0.0001250000059371814
0.03861851617693901,0.114775151014328,0.03342670947313309,0.10530994832515717,0.0001250000059371814
0.0386078879237175,0.11465811729431152,0.033418502658605576,0.10474265366792679,6.25000029685907e-05
0.03860549256205559,0.11463791131973267,0.033419813960790634,0.10473883152008057,6.25000029685907e-05
0.038606222718954086,0.11464424431324005,0.033421821892261505,0.1048850566148758,6.25000029685907e-05
0.0386037677526474,0.11462873220443726,0.033425215631723404,0.10490314662456512,6.25000029685907e-05
