"window_begin","window_end","sharp_label","sharp_LAT_MIN_min","sharp_LAT_MIN_max","sharp_LAT_MIN_avg","sharp_LON_MIN_min","sharp_LON_MIN_max","sharp_LON_MIN_avg","sharp_LAT_MAX_min","sharp_LAT_MAX_max","sharp_LAT_MAX_avg","sharp_LON_MAX_min","sharp_LON_MAX_max","sharp_LON_MAX_avg","sharp_USFLUX_min","sharp_USFLUX_max","sharp_USFLUX_avg","sharp_MEANGAM_min","sharp_MEANGAM_max","sharp_MEANGAM_avg","sharp_MEANGBT_min","sharp_MEANGBT_max","sharp_MEANGBT_avg","sharp_MEANGBZ_min","sharp_MEANGBZ_max","sharp_MEANGBZ_avg","sharp_MEANGBH_min","sharp_MEANGBH_max","sharp_MEANGBH_avg","sharp_MEANJZD_min","sharp_MEANJZD_max","sharp_MEANJZD_avg","sharp_TOTUSJZ_min","sharp_TOTUSJZ_max","sharp_TOTUSJZ_avg","sharp_MEANALP_min","sharp_MEANALP_max","sharp_MEANALP_avg","sharp_MEANJZH_min","sharp_MEANJZH_max","sharp_MEANJZH_avg","sharp_TOTUSJH_min","sharp_TOTUSJH_max","sharp_TOTUSJH_avg","sharp_ABSNJZH_min","sharp_ABSNJZH_max","sharp_ABSNJZH_avg","sharp_SAVNCPP_min","sharp_SAVNCPP_max","sharp_SAVNCPP_avg","sharp_MEANPOT_min","sharp_MEANPOT_max","sharp_MEANPOT_avg","sharp_TOTPOT_min","sharp_TOTPOT_max","sharp_TOTPOT_avg","sharp_MEANSHR_min","sharp_MEANSHR_max","sharp_MEANSHR_avg","sharp_SHRGT45_min","sharp_SHRGT45_max","sharp_SHRGT45_avg","sharp_SIZE_min","sharp_SIZE_max","sharp_SIZE_avg","sharp_SIZE_ACR_min","sharp_SIZE_ACR_max","sharp_SIZE_ACR_avg","sharp_NACR_min","sharp_NACR_max","sharp_NACR_avg","sharp_NPIX_min","sharp_NPIX_max","sharp_NPIX_avg","flare_label","flare_num","flare_duration_minutes_min","flare_duration_minutes_max","flare_duration_minutes_avg","flare_peak_duration_minutes_min","flare_peak_duration_minutes_max","flare_peak_duration_minutes_avg","flare_strength_log_min","flare_strength_log_max","flare_strength_log_avg","CME_label","CME_num","CME_donki_Latitude_min","CME_donki_Latitude_max","CME_donki_Latitude_avg","CME_donki_Longitude_min","CME_donki_Longitude_max","CME_donki_Longitude_avg","CME_donki_HalfAngle_min","CME_donki_HalfAngle_max","CME_donki_HalfAngle_avg","CME_donki_Speed_min","CME_donki_Speed_max","CME_donki_Speed_avg","future_flare_label","future_flare_num","future_flare_duration_minutes_min","future_flare_duration_minutes_max","future_flare_duration_minutes_avg","future_flare_peak_duration_minutes_min","future_flare_peak_duration_minutes_max","future_flare_peak_duration_minutes_avg","future_flare_strength_log_min","future_flare_strength_log_max","future_flare_strength_log_avg","future_CME_label","future_CME_num","future_CME_donki_Latitude_min","future_CME_donki_Latitude_max","future_CME_donki_Latitude_avg","future_CME_donki_Longitude_min","future_CME_donki_Longitude_max","future_CME_donki_Longitude_avg","future_CME_donki_HalfAngle_min","future_CME_donki_HalfAngle_max","future_CME_donki_HalfAngle_avg","future_CME_donki_Speed_min","future_CME_donki_Speed_max","future_CME_donki_Speed_avg","future_Operational_SEP_label","future_SEP_MaxFlux","future_SEP_label"
1986-02-12 07:05:00,1986-02-13 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12,5,34,11.1666666666667,0,12,4.16666666666667,-14.3602377334059,-11.5129254649702,-13.3301388816136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,25,10.8181818181818,0,8,3.63636363636364,-14.3431433000466,-12.186270018234,-13.8461639552924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,1
1986-02-13 07:05:00,1986-02-14 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,2,25,10.8181818181818,0,8,3.63636363636364,-14.3431433000466,-12.186270018234,-13.8461639552924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,4,102,31,0,51,11.5555555555556,-14.1440146249363,-9.6566274746046,-12.6148761722753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,1
1986-02-14 07:05:00,1986-02-15 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,4,102,31,0,51,11.5555555555556,-14.1440146249363,-9.6566274746046,-12.6148761722753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,164,45.5714285714286,1,107,25.4285714285714,-13.8773859616824,-10.724468104606,-12.1214797564229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,1
1986-02-15 07:05:00,1986-02-16 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,5,164,45.5714285714286,1,107,25.4285714285714,-13.8773859616824,-10.724468104606,-12.1214797564229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,22,184,89,14,71,34,-14.4503888304002,-11.869600408909,-13.3784999324245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,1
1986-02-16 07:05:00,1986-02-17 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,22,184,89,14,71,34,-14.4503888304002,-11.869600408909,-13.3784999324245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14,1
1986-02-25 07:05:00,1986-02-26 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,122,122,122,118,118,118,-16.022785471154,-16.022785471154,-16.022785471154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,89,880,484.5,480,1439,959.5,-15.4249484703984,-15.4249484703984,-15.4249484703984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-02-26 07:05:00,1986-02-27 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,89,880,484.5,480,1439,959.5,-15.4249484703984,-15.4249484703984,-15.4249484703984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,12,11,3,5,4,-15.6480920217126,-15.4762417647859,-15.5621668932493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-02-27 07:05:00,1986-02-28 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,10,12,11,3,5,4,-15.6480920217126,-15.4762417647859,-15.5621668932493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,5,152,20.5714285714286,2,13,5.64285714285714,-15.329638290594,-13.3455069287185,-14.524168930821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-02-28 07:05:00,1986-03-01 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,5,152,20.5714285714286,2,13,5.64285714285714,-15.329638290594,-13.3455069287185,-14.524168930821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,54,13.5882352941176,1,35,6.05882352941176,-15.329638290594,-12.6841084464732,-14.7159606511993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-03-01 07:05:00,1986-03-02 07:05:00,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,2,54,13.5882352941176,1,35,6.05882352941176,-15.329638290594,-12.6841084464732,-14.7159606511993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,35,13.75,1,15,5.75,-15.2851865280232,-11.800607537422,-14.1935284153703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
